,date,co2
0,1750-12-31,46.755
1,1751-12-31,46.755
2,1752-12-31,46.77
3,1753-12-31,46.77
4,1754-12-31,46.79
5,1755-12-31,46.81
6,1756-12-31,50.03
7,1757-12-31,50.05
8,1758-12-31,50.07
9,1759-12-31,50.085
10,1760-12-31,50.085
11,1761-12-31,54.87
12,1762-12-31,54.885
13,1763-12-31,54.905
14,1764-12-31,54.925
15,1765-12-31,54.94
16,1766-12-31,61.3
17,1767-12-31,61.315
18,1768-12-31,61.335
19,1769-12-31,61.355
20,1770-12-31,61.37
21,1771-12-31,68.06
22,1772-12-31,68.075
23,1773-12-31,68.095
24,1774-12-31,68.115
25,1775-12-31,68.13
26,1776-12-31,75.185
27,1777-12-31,75.205
28,1778-12-31,75.22
29,1779-12-31,75.24
30,1780-12-31,75.275
31,1781-12-31,84.215
32,1782-12-31,84.235
33,1783-12-31,84.27
34,1784-12-31,84.29
35,1785-12-31,84.341
36,1786-12-31,95.756
37,1787-12-31,95.791
38,1788-12-31,95.811
39,1789-12-31,95.846
40,1790-12-31,95.885
41,1791-12-31,107.096
42,1792-12-31,109.476
43,1793-12-31,109.57
44,1794-12-31,109.403
45,1795-12-31,109.46
46,1796-12-31,114.755
47,1797-12-31,120.47
48,1798-12-31,125.471
49,1799-12-31,132.14
50,1800-12-31,139.951
51,1801-12-31,139.262
52,1802-12-31,183.333
53,1803-12-31,156.845
54,1804-12-31,170.88
55,1805-12-31,166.413
56,1806-12-31,174.56
57,1807-12-31,183.612
58,1808-12-31,174.536
59,1809-12-31,174.641
60,1810-12-31,186.062
61,1811-12-31,197.016
62,1812-12-31,204.066
63,1813-12-31,205.055
64,1814-12-31,209.518
65,1815-12-31,216.236
66,1816-12-31,236.995
67,1817-12-31,245.715
68,1818-12-31,246.652
69,1819-12-31,248.212
70,1820-12-31,251.853
71,1821-12-31,255.517
72,1822-12-31,265.592
73,1823-12-31,280.945
74,1824-12-31,290.592
75,1825-12-31,301.507
76,1826-12-31,304.466
77,1827-12-31,326.677
78,1828-12-31,329.995
79,1829-12-31,328.381
80,1830-12-31,441.432
81,1831-12-31,418.106
82,1832-12-31,419.503
83,1833-12-31,426.974
84,1834-12-31,435.663
85,1835-12-31,443.595
86,1836-12-31,514.416
87,1837-12-31,512.844
88,1838-12-31,530.157
89,1839-12-31,547.025
90,1840-12-31,582.901
91,1841-12-31,600.667
92,1842-12-31,633.682
93,1843-12-31,648.735
94,1844-12-31,688.502
95,1845-12-31,753.643
96,1846-12-31,763.525
97,1847-12-31,831.839
98,1848-12-31,835.471
99,1849-12-31,881.068
100,1850-12-31,944.825
101,1851-12-31,944.689
102,1852-12-31,984.086
103,1853-12-31,1025.62
104,1854-12-31,1209.253
105,1855-12-31,1224.319
106,1856-12-31,1306.205
107,1857-12-31,1317.119
108,1858-12-31,1336.45
109,1859-12-31,1414.271
110,1860-12-31,1556.029
111,1861-12-31,1644.744
112,1862-12-31,1672.925
113,1863-12-31,1776.859
114,1864-12-31,1915.504
115,1865-12-31,2040.647
116,1866-12-31,2106.937
117,1867-12-31,2239.362
118,1868-12-31,2286.149
119,1869-12-31,2415.587
120,1870-12-31,2462.391
121,1871-12-31,2620.671
122,1872-12-31,2875.077
123,1873-12-31,3043.863
124,1874-12-31,2841.428
125,1875-12-31,3101.35
126,1876-12-31,3155.705
127,1877-12-31,3194.201
128,1878-12-31,3222.43
129,1879-12-31,3410.089
130,1880-12-31,3852.297
131,1881-12-31,3973.041
132,1882-12-31,4167.643
133,1883-12-31,4423.438
134,1884-12-31,4449.086
135,1885-12-31,4476.89
136,1886-12-31,4523.773
137,1887-12-31,4734.717
138,1888-12-31,5173.71
139,1889-12-31,5245.849
140,1890-12-31,5643.908
141,1891-12-31,5889.893
142,1892-12-31,5896.782
143,1893-12-31,5801.458
144,1894-12-31,6090.709
145,1895-12-31,6394.881
146,1896-12-31,6629.614
147,1897-12-31,6948.567
148,1898-12-31,7285.625
149,1899-12-31,7901.02
150,1900-12-31,8322.749
151,1901-12-31,8503.959
152,1902-12-31,8661.382
153,1903-12-31,9329.175
154,1904-12-31,9463.535
155,1905-12-31,9984.272
